Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
1,Filevich_unpub,1,0,1.4765,-1.0,1.0,-1,1,1.0,1.0,1,1.0,0.01,1.0,1,-0.232272
2,Filevich_unpub,1,1,0.094087,0.999505,0.999505,1,-1,1.0,-1.0,-1,0.01,1.0,-0.01,1,-0.23372087
3,Filevich_unpub,1,1,0.18229,0.90753125,0.90753125,1,1,0.999505,0.999505,1,1.0,1.0,1.0,1,-0.24625847
4,Filevich_unpub,1,0,0.54553,-0.844405,0.844405,-1,1,0.90753125,0.90753125,1,1.0,1.0,1.0,1,-0.26271954
5,Filevich_unpub,1,1,0.018351,0.7970225,0.7970225,1,-1,0.844405,-0.844405,-1,1.0,1.0,-1.0,1,-0.2684825
6,Filevich_unpub,1,1,0.43359,0.7577525,0.7577525,1,1,0.7970225,0.7970225,1,1.0,1.0,1.0,1,-0.2920439
7,Filevich_unpub,1,0,0.40439,-0.72336375,0.72336375,-1,1,0.7577525,0.7577525,1,1.0,1.0,1.0,1,-0.32653922
8,Filevich_unpub,1,0,0.90229,-0.69305875,0.69305875,-1,-1,0.72336375,-0.72336375,-1,1.0,0.01,-1.0,1,-0.3574634
9,Filevich_unpub,1,0,1.1016,0.6650775,0.6650775,1,-1,0.69305875,-0.69305875,-1,0.01,0.604,-0.01,0,-0.37873513
10,Filevich_unpub,1,1,0.56313,0.75012125,0.75012125,1,1,0.6650775,0.6650775,-1,0.604,1.0,-0.604,1,-0.1854163
11,Filevich_unpub,1,1,0.60364,0.7279425,0.7279425,1,1,0.75012125,0.75012125,1,1.0,0.802,1.0,1,-0.021495987
12,Filevich_unpub,1,1,0.59817,0.70889875,0.70889875,1,1,0.7279425,0.7279425,1,0.802,1.0,0.802,1,0.13949655
13,Filevich_unpub,1,1,0.47535,-0.69135375,0.69135375,-1,1,0.70889875,0.70889875,1,1.0,1.0,1.0,0,0.29742074
14,Filevich_unpub,1,1,0.3582,0.74799,0.74799,1,-1,0.69135375,-0.69135375,1,1.0,1.0,1.0,1,0.24210802
15,Filevich_unpub,1,1,0.36389,0.73125625,0.73125625,1,1,0.74799,0.74799,1,1.0,1.0,1.0,1,0.19425717
16,Filevich_unpub,1,0,0.44003,-0.71697,0.71697,-1,1,0.73125625,0.73125625,1,1.0,1.0,1.0,1,0.14176527
17,Filevich_unpub,1,0,0.58015,-0.70361875,0.70361875,-1,-1,0.71697,-0.71697,-1,1.0,1.0,-1.0,1,0.1233744
18,Filevich_unpub,1,1,0.598,0.69129875,0.69129875,1,-1,0.70361875,-0.70361875,-1,1.0,0.802,-1.0,1,0.14036936
19,Filevich_unpub,1,0,1.4823,-0.6804775,0.6804775,-1,1,0.69129875,0.69129875,1,0.802,0.208,0.802,1,0.1441186
20,Filevich_unpub,1,1,0.70966,0.67039875,0.67039875,1,-1,0.6804775,-0.6804775,-1,0.208,0.208,-0.208,1,0.18302955
21,Filevich_unpub,1,1,0.40475,0.6605125,0.6605125,1,1,0.67039875,0.67039875,1,0.208,0.604,0.208,1,0.20413311
22,Filevich_unpub,1,0,0.34593,-0.65117625,0.65117625,-1,1,0.6605125,0.6605125,1,0.604,0.802,0.604,1,0.21453063
23,Filevich_unpub,1,1,0.43999,0.64281625,0.64281625,1,-1,0.65117625,-0.65117625,-1,0.802,1.0,-0.802,1,0.26533905
24,Filevich_unpub,1,1,0.258,0.634965,0.634965,1,1,0.64281625,0.64281625,1,1.0,1.0,1.0,1,0.3077604
25,Filevich_unpub,1,0,0.39841,-0.62727875,0.62727875,-1,1,0.634965,0.634965,1,1.0,0.604,1.0,1,0.33483362
26,Filevich_unpub,1,0,0.40462,-0.61960625,0.61960625,-1,-1,0.62727875,-0.62727875,-1,0.604,0.802,-0.604,1,0.42491564
27,Filevich_unpub,1,1,1.2891,-0.612085,0.612085,-1,-1,0.61960625,-0.61960625,-1,0.802,0.01,-0.802,0,0.56202143
28,Filevich_unpub,1,0,0.33433,-0.63695875,0.63695875,-1,-1,0.612085,-0.612085,1,0.01,1.0,0.01,1,0.49566352
29,Filevich_unpub,1,0,1.0315,-0.630345,0.630345,-1,-1,0.63695875,-0.63695875,-1,1.0,0.01,-1.0,1,0.48209256
30,Filevich_unpub,1,1,0.53325,0.623745,0.623745,1,-1,0.630345,-0.630345,-1,0.01,0.604,-0.01,1,0.5199102
31,Filevich_unpub,1,1,0.99062,0.61709,0.61709,1,1,0.623745,0.623745,1,0.604,0.604,0.604,1,0.56111556
32,Filevich_unpub,1,1,0.43425,-0.61082,0.61082,-1,1,0.61709,0.61709,1,0.604,0.604,0.604,0,0.61303675
33,Filevich_unpub,1,0,0.46345,-0.63228375,0.63228375,-1,-1,0.61082,-0.61082,1,0.604,0.01,0.604,1,0.47227198
34,Filevich_unpub,1,1,0.38752,0.6264125,0.6264125,1,-1,0.63228375,-0.63228375,-1,0.01,0.406,-0.01,1,0.38501307
35,Filevich_unpub,1,1,1.7818,-0.6205275,0.6205275,-1,1,0.6264125,0.6264125,1,0.406,0.01,0.406,0,0.30188185
36,Filevich_unpub,1,0,1.1601,0.6391175,0.6391175,1,-1,0.6205275,-0.6205275,1,0.01,0.01,0.01,0,-0.022932373
37,Filevich_unpub,1,1,0.30495,0.6607325,0.6607325,1,1,0.6391175,0.6391175,-1,0.01,1.0,-0.01,1,-0.09842189
38,Filevich_unpub,1,0,0.42198,-0.65449,0.65449,-1,1,0.6607325,0.6607325,1,1.0,1.0,1.0,1,-0.22295307
39,Filevich_unpub,1,0,0.43406,-0.64899,0.64899,-1,-1,0.65449,-0.65449,-1,1.0,1.0,-1.0,1,-0.32102853
40,Filevich_unpub,1,0,0.82031,0.64386125,0.64386125,1,-1,0.64899,-0.64899,-1,1.0,0.01,-1.0,0,-0.42031696
41,Filevich_unpub,1,0,1.0143,-0.6634825,0.6634825,-1,1,0.64386125,0.64386125,-1,0.01,1.0,-0.01,1,-0.2873097
42,Filevich_unpub,1,0,1.1309,-0.65772125,0.65772125,-1,-1,0.6634825,-0.6634825,-1,1.0,0.01,-1.0,1,-0.15968952
43,Filevich_unpub,1,1,0.92614,0.6524275,0.6524275,1,-1,0.65772125,-0.65772125,-1,0.01,0.802,-0.01,1,-0.02872958
44,Filevich_unpub,1,1,0.35181,0.64762875,0.64762875,1,1,0.6524275,0.6524275,1,0.802,1.0,0.802,1,0.07059024
45,Filevich_unpub,1,1,0.30483,0.6431325,0.6431325,1,1,0.64762875,0.64762875,1,1.0,1.0,1.0,1,0.15972608
46,Filevich_unpub,1,1,0.33392,0.63885625,0.63885625,1,1,0.6431325,0.6431325,1,1.0,1.0,1.0,1,0.23460124
47,Filevich_unpub,1,1,1.0905,0.63475875,0.63475875,1,1,0.63885625,0.63885625,1,1.0,0.604,1.0,1,0.3052607
48,Filevich_unpub,1,0,0.82029,-0.63068875,0.63068875,-1,1,0.63475875,0.63475875,1,0.604,0.208,0.604,1,0.373652
49,Filevich_unpub,1,1,0.46312,0.6975,0.6975,1,-1,0.63068875,-0.63068875,-1,0.208,1.0,-0.208,1,0.48793772
50,Filevich_unpub,1,1,0.37513,0.38778125,0.38778125,1,1,0.6975,0.6975,1,1.0,0.406,1.0,1,0.6030514
51,Filevich_unpub,1,1,0.88496,-0.14525875,0.14525875,-1,1,0.38778125,0.38778125,1,0.406,0.01,0.406,0,0.7206659
52,Filevich_unpub,1,1,0.25836,0.554335,0.554335,1,-1,0.14525875,-0.14525875,1,0.01,1.0,0.01,1,0.7413545
53,Filevich_unpub,1,1,1.7402,-0.35722875,0.35722875,-1,1,0.554335,0.554335,1,1.0,0.208,1.0,0,0.77900565
54,Filevich_unpub,1,1,0.43378,0.62425375,0.62425375,1,-1,0.35722875,-0.35722875,1,0.208,1.0,0.208,1,0.6999328
55,Filevich_unpub,1,0,0.26375,-0.45328625,0.45328625,-1,1,0.62425375,0.62425375,1,1.0,1.0,1.0,1,0.6244566
56,Filevich_unpub,1,1,1.565,-0.35530375,0.35530375,-1,-1,0.45328625,-0.45328625,-1,1.0,0.01,-1.0,0,0.6781097
57,Filevich_unpub,1,1,0.50442,0.4919925,0.4919925,1,-1,0.35530375,-0.35530375,1,0.01,0.802,0.01,1,0.599061
58,Filevich_unpub,1,1,0.92579,-0.393625,0.393625,-1,1,0.4919925,0.4919925,1,0.802,0.208,0.802,0,0.52388024
59,Filevich_unpub,1,1,0.24055,0.5281825,0.5281825,1,-1,0.393625,-0.393625,1,0.208,0.802,0.208,1,0.29991516
60,Filevich_unpub,1,1,0.51564,0.427285,0.427285,1,1,0.5281825,0.5281825,1,0.802,0.208,0.802,1,0.06552798
61,Filevich_unpub,1,0,0.83218,0.36949375,0.36949375,1,1,0.427285,0.427285,1,0.208,0.01,0.208,0,-0.20137683
62,Filevich_unpub,1,0,0.33431,-0.44806125,0.44806125,-1,1,0.36949375,0.36949375,-1,0.01,0.604,-0.01,1,-0.26240844
63,Filevich_unpub,1,0,0.36969,-0.386475,0.386475,-1,-1,0.44806125,-0.44806125,-1,0.604,0.802,-0.604,1,-0.29314524
64,Filevich_unpub,1,1,0.55121,-0.34664125,0.34664125,-1,-1,0.386475,-0.386475,-1,0.802,0.01,-0.802,0,-0.2887153
65,Filevich_unpub,1,0,1.4649,0.39704875,0.39704875,1,-1,0.34664125,-0.34664125,1,0.01,0.01,0.01,0,-0.50464416
66,Filevich_unpub,1,1,0.41093,0.48359125,0.48359125,1,1,0.39704875,0.39704875,-1,0.01,1.0,-0.01,1,-0.5353131
67,Filevich_unpub,1,0,0.34013,-0.41585875,0.41585875,-1,1,0.48359125,0.48359125,1,1.0,0.802,1.0,1,-0.6472702
68,Filevich_unpub,1,1,1.1371,0.3736875,0.3736875,1,-1,0.41585875,-0.41585875,-1,0.802,0.208,-0.802,1,-0.7241609
69,Filevich_unpub,1,0,1.1432,0.3429425,0.3429425,1,1,0.3736875,0.3736875,1,0.208,0.01,0.208,0,-0.888474
70,Filevich_unpub,1,1,0.42208,0.3816075,0.3816075,1,1,0.3429425,0.3429425,-1,0.01,0.604,-0.01,1,-0.9032039
71,Filevich_unpub,1,0,1.5472,0.3509725,0.3509725,1,1,0.3816075,0.3816075,1,0.604,0.01,0.604,0,-1.0558465
72,Filevich_unpub,1,1,0.39856,0.39874,0.39874,1,1,0.3509725,0.3509725,-1,0.01,0.802,-0.01,1,-1.0459765
73,Filevich_unpub,1,0,0.2938,-0.36272875,0.36272875,-1,1,0.39874,0.39874,1,0.802,0.604,0.802,1,-1.163872
74,Filevich_unpub,1,0,0.36913,-0.3366175,0.3366175,-1,-1,0.36272875,-0.36272875,-1,0.604,0.604,-0.604,1,-1.2645184
75,Filevich_unpub,1,0,0.053602,-0.3162675,0.3162675,-1,-1,0.3366175,-0.3366175,-1,0.604,0.406,-0.604,1,-1.3655126
76,Filevich_unpub,1,0,0.041591,0.29807625,0.29807625,1,-1,0.3162675,-0.3162675,-1,0.406,0.604,-0.406,0,-1.4787929
77,Filevich_unpub,1,0,0.48116,-0.31982875,0.31982875,-1,1,0.29807625,0.29807625,-1,0.604,0.208,-0.604,1,-1.503284
78,Filevich_unpub,1,0,0.42211,-0.30225625,0.30225625,-1,-1,0.31982875,-0.31982875,-1,0.208,0.208,-0.208,1,-1.5380783
79,Filevich_unpub,1,0,0.53918,0.2872,0.2872,1,-1,0.30225625,-0.30225625,-1,0.208,0.01,-0.208,0,-1.5772312
80,Filevich_unpub,1,0,0.43433,-0.30858125,0.30858125,-1,1,0.2872,0.2872,-1,0.01,0.01,-0.01,1,-1.5532691
81,Filevich_unpub,1,0,0.72063,0.29161375,0.29161375,1,-1,0.30858125,-0.30858125,-1,0.01,0.208,-0.01,0,-1.5447519
82,Filevich_unpub,1,0,0.087969,-0.31201875,0.31201875,-1,1,0.29161375,0.29161375,-1,0.208,0.604,-0.208,1,-1.4713178
83,Filevich_unpub,1,0,0.24625,-0.29562875,0.29562875,-1,-1,0.31201875,-0.31201875,-1,0.604,0.604,-0.604,1,-1.404837
84,Filevich_unpub,1,0,0.42968,-0.28215375,0.28215375,-1,-1,0.29562875,-0.29562875,-1,0.604,0.208,-0.604,1,-1.3360981
85,Filevich_unpub,1,0,0.873,-0.27082375,0.27082375,-1,-1,0.28215375,-0.28215375,-1,0.208,0.01,-0.208,1,-1.2649556
86,Filevich_unpub,1,0,0.11779,-0.25971375,0.25971375,-1,-1,0.27082375,-0.27082375,-1,0.01,0.406,-0.01,1,-1.1885885
87,Filevich_unpub,1,0,0.31659,-0.25024,0.25024,-1,-1,0.25971375,-0.25971375,-1,0.406,0.208,-0.406,1,-1.1071124
88,Filevich_unpub,1,1,0.5797,0.2411375,0.2411375,1,-1,0.25024,-0.25024,-1,0.208,0.604,-0.208,1,-0.99608636
89,Filevich_unpub,1,0,0.34598,0.2332725,0.2332725,1,1,0.2411375,0.2411375,1,0.604,0.406,0.604,0,-1.0416758
90,Filevich_unpub,1,1,0.38714,0.24497375,0.24497375,1,1,0.2332725,0.2332725,-1,0.406,0.406,-0.406,1,-0.94463
91,Filevich_unpub,1,0,0.34024,-0.23697125,0.23697125,-1,1,0.24497375,0.24497375,1,0.406,0.406,0.406,1,-0.9875282
92,Filevich_unpub,1,1,0.31129,0.229395,0.229395,1,-1,0.23697125,-0.23697125,-1,0.406,0.406,-0.406,1,-0.9852535
93,Filevich_unpub,1,0,0.43401,0.22195625,0.22195625,1,1,0.229395,0.229395,1,0.406,0.208,0.406,0,-1.144499
94,Filevich_unpub,1,0,0.7035,-0.23070125,0.23070125,-1,1,0.22195625,0.22195625,-1,0.208,0.604,-0.208,1,-1.1795717
95,Filevich_unpub,1,0,0.13488,-0.22338625,0.22338625,-1,-1,0.23070125,-0.23070125,-1,0.604,0.802,-0.604,1,-1.2111827
96,Filevich_unpub,1,0,0.62779,0.21612625,0.21612625,1,-1,0.22338625,-0.22338625,-1,0.802,0.01,-0.802,0,-1.2312273
97,Filevich_unpub,1,0,0.29312,-0.2247475,0.2247475,-1,1,0.21612625,0.21612625,-1,0.01,0.208,-0.01,1,-1.1567705
98,Filevich_unpub,1,0,1.2777,-0.217625,0.217625,-1,-1,0.2247475,-0.2247475,-1,0.208,0.208,-0.208,1,-1.0794806
99,Filevich_unpub,1,0,1.1898,-0.62664625,0.62664625,-1,-1,0.217625,-0.217625,-1,0.208,0.802,-0.208,1,-0.98683333
100,Filevich_unpub,1,0,0.38725,-0.62259,0.62259,-1,-1,0.62664625,-0.62664625,-1,0.802,0.802,-0.802,1,-0.90035397
101,Filevich_unpub,1,0,0.3289,-0.61845125,0.61845125,-1,-1,0.62259,-0.62259,-1,0.802,1.0,-0.802,1,-0.8224734
102,Filevich_unpub,1,0,0.30466,-0.61427125,0.61427125,-1,-1,0.61845125,-0.61845125,-1,1.0,1.0,-1.0,1,-0.7326906
103,Filevich_unpub,1,1,0.39914,0.61053125,0.61053125,1,-1,0.61427125,-0.61427125,-1,1.0,1.0,-1.0,1,-0.6364295
104,Filevich_unpub,1,0,0.37577,-0.60703875,0.60703875,-1,1,0.61053125,0.61053125,1,1.0,0.604,1.0,1,-0.57625175
105,Filevich_unpub,1,1,0.41675,0.603725,0.603725,1,-1,0.60703875,-0.60703875,-1,0.604,1.0,-0.604,1,-0.4961729
106,Filevich_unpub,1,0,0.393,-0.60057625,0.60057625,-1,1,0.603725,0.603725,1,1.0,0.802,1.0,1,-0.45675766
107,Filevich_unpub,1,1,0.33433,0.5975375,0.5975375,1,-1,0.60057625,-0.60057625,-1,0.802,1.0,-0.802,1,-0.38139492
108,Filevich_unpub,1,1,0.27587,0.594595,0.594595,1,1,0.5975375,0.5975375,1,1.0,1.0,1.0,1,-0.3404976
109,Filevich_unpub,1,1,0.29356,0.5917075,0.5917075,1,1,0.594595,0.594595,1,1.0,1.0,1.0,1,-0.316151
110,Filevich_unpub,1,1,0.24661,0.5887925,0.5887925,1,1,0.5917075,0.5917075,1,1.0,1.0,1.0,1,-0.314007
111,Filevich_unpub,1,0,0.69187,-0.5858775,0.5858775,-1,1,0.5887925,0.5887925,1,1.0,1.0,1.0,1,-0.33173454
112,Filevich_unpub,1,0,0.3517,-0.58292125,0.58292125,-1,-1,0.5858775,-0.5858775,-1,1.0,1.0,-1.0,1,-0.31453544
113,Filevich_unpub,1,1,0.24058,0.57989625,0.57989625,1,-1,0.58292125,-0.58292125,-1,1.0,1.0,-1.0,1,-0.27435505
114,Filevich_unpub,1,0,0.32265,-0.57678875,0.57678875,-1,1,0.57989625,0.57989625,1,1.0,1.0,1.0,1,-0.2757829
115,Filevich_unpub,1,0,0.59232,-0.573585,0.573585,-1,-1,0.57678875,-0.57678875,-1,1.0,0.802,-1.0,1,-0.23179042
116,Filevich_unpub,1,1,0.018353,0.57065625,0.57065625,1,-1,0.573585,-0.573585,-1,0.802,1.0,-0.802,1,-0.15697283
117,Filevich_unpub,1,0,0.33988,-0.5678925,0.5678925,-1,1,0.57065625,0.57065625,1,1.0,1.0,1.0,1,-0.11803505
118,Filevich_unpub,1,1,0.36381,0.56529375,0.56529375,1,-1,0.5678925,-0.5678925,-1,1.0,1.0,-1.0,1,-0.032773226
119,Filevich_unpub,1,0,0.4166,-0.562805,0.562805,-1,1,0.56529375,0.56529375,1,1.0,1.0,1.0,1,0.04375387
120,Filevich_unpub,1,1,0.38125,-0.56042625,0.56042625,-1,-1,0.562805,-0.562805,-1,1.0,0.802,-1.0,0,0.18273465
121,Filevich_unpub,1,1,1.3477,0.5695975,0.5695975,1,-1,0.56042625,-0.56042625,1,0.802,0.208,0.802,1,0.120284885
122,Filevich_unpub,1,1,0.2702,0.56704,0.56704,1,1,0.5695975,0.5695975,1,0.208,1.0,0.208,1,0.051201083
123,Filevich_unpub,1,1,0.90899,0.56462,0.56462,1,1,0.56704,0.56704,1,1.0,1.0,1.0,1,-0.035752535
124,Filevich_unpub,1,0,0.68549,-0.56231,0.56231,-1,1,0.56462,0.56462,1,1.0,1.0,1.0,1,-0.13454252
125,Filevich_unpub,1,1,0.047288,0.56009625,0.56009625,1,-1,0.56231,-0.56231,-1,1.0,1.0,-1.0,1,-0.19023557
126,Filevich_unpub,1,0,0.08839,-0.55795125,0.55795125,-1,1,0.56009625,0.56009625,1,1.0,1.0,1.0,1,-0.27774
127,Filevich_unpub,1,0,0.3343,-0.55586125,0.55586125,-1,-1,0.55795125,-0.55795125,-1,1.0,0.406,-1.0,1,-0.32366034
128,Filevich_unpub,1,0,0.32264,-0.55382625,0.55382625,-1,-1,0.55586125,-0.55586125,-1,0.406,1.0,-0.406,1,-0.3467687
129,Filevich_unpub,1,1,0.15901,0.55181875,0.55181875,1,-1,0.55382625,-0.55382625,-1,1.0,1.0,-1.0,1,-0.35160765
130,Filevich_unpub,1,0,0.36986,-0.5497975,0.5497975,-1,1,0.55181875,0.55181875,1,1.0,0.406,1.0,1,-0.39505932
131,Filevich_unpub,1,0,0.030007,-0.5477625,0.5477625,-1,-1,0.5497975,-0.5497975,-1,0.406,0.406,-0.406,1,-0.41136476
132,Filevich_unpub,1,0,0.3692,-0.54571375,0.54571375,-1,-1,0.5477625,-0.5477625,-1,0.406,0.406,-0.406,1,-0.41013852
133,Filevich_unpub,1,0,0.56261,-0.5436375,0.5436375,-1,-1,0.54571375,-0.54571375,-1,0.406,0.604,-0.406,1,-0.3959922
134,Filevich_unpub,1,0,0.50361,-0.54150625,0.54150625,-1,-1,0.5436375,-0.5436375,-1,0.604,0.604,-0.604,1,-0.36149135
135,Filevich_unpub,1,1,0.26395,0.53930625,0.53930625,1,-1,0.54150625,-0.54150625,-1,0.604,0.802,-0.604,1,-0.3134767
136,Filevich_unpub,1,0,0.31091,-0.5370375,0.5370375,-1,1,0.53930625,0.53930625,1,0.802,0.802,0.802,1,-0.31118116
137,Filevich_unpub,1,1,1.284,0.53468625,0.53468625,1,-1,0.5370375,-0.5370375,-1,0.802,0.01,-0.802,1,-0.26362574
138,Filevich_unpub,1,0,1.4187,0.53223875,0.53223875,1,1,0.53468625,0.53468625,1,0.01,0.01,0.01,0,-0.25875777
139,Filevich_unpub,1,1,0.42799,-0.540255,0.540255,-1,1,0.53223875,0.53223875,-1,0.01,0.406,-0.01,0,-0.0072155027
140,Filevich_unpub,1,1,0.61543,-0.5469375,0.5469375,-1,-1,0.540255,-0.540255,1,0.406,0.01,0.406,0,0.02206796
141,Filevich_unpub,1,0,0.51633,-0.55285,0.55285,-1,-1,0.5469375,-0.5469375,1,0.01,0.406,0.01,1,-0.16872412
142,Filevich_unpub,1,0,0.38108,-0.5510625,0.5510625,-1,-1,0.55285,-0.55285,-1,0.406,0.604,-0.406,1,-0.32633555
143,Filevich_unpub,1,1,0.34041,0.549275,0.549275,1,-1,0.5510625,-0.5510625,-1,0.604,0.406,-0.604,1,-0.45637777
144,Filevich_unpub,1,1,0.43944,0.54747375,0.54747375,1,1,0.549275,0.549275,1,0.406,0.802,0.406,1,-0.624045
145,Filevich_unpub,1,0,0.45193,0.54565875,0.54565875,1,1,0.54747375,0.54747375,1,0.802,0.01,0.802,0,-0.85237396
146,Filevich_unpub,1,0,0.54565,-0.55140625,0.55140625,-1,1,0.54565875,0.54565875,-1,0.01,0.802,-0.01,1,-0.86825943
147,Filevich_unpub,1,0,0.39299,-0.5496875,0.5496875,-1,-1,0.55140625,-0.55140625,-1,0.802,1.0,-0.802,1,-0.8887415
148,Filevich_unpub,1,0,0.3871,-0.54796875,0.54796875,-1,-1,0.5496875,-0.5496875,-1,1.0,0.01,-1.0,1,-0.9071223
149,Filevich_unpub,1,0,0.39846,-0.21152,0.21152,-1,-1,0.54796875,-0.54796875,-1,0.01,0.01,-0.01,1,-0.92710024
150,Filevich_unpub,1,0,0.3752,-0.205305,0.205305,-1,-1,0.21152,-0.21152,-1,0.01,0.01,-0.01,1,-0.92869335
151,Filevich_unpub,1,1,0.35806,0.19951625,0.19951625,1,-1,0.205305,-0.205305,-1,0.01,0.208,-0.01,1,-0.9159896
152,Filevich_unpub,1,0,0.55066,0.19426375,0.19426375,1,1,0.19951625,0.19951625,1,0.208,0.01,0.208,0,-1.0741462
153,Filevich_unpub,1,0,0.38127,0.20195,0.20195,1,1,0.19426375,0.19426375,-1,0.01,0.01,-0.01,0,-1.1408895
154,Filevich_unpub,1,0,0.38719,0.2106675,0.2106675,1,1,0.20195,0.20195,-1,0.01,0.01,-0.01,0,-1.1404592
155,Filevich_unpub,1,0,1.289,0.219,0.219,1,1,0.2106675,0.2106675,-1,0.01,0.01,-0.01,0,-1.0650357
156,Filevich_unpub,1,0,0.50421,-0.22704375,0.22704375,-1,1,0.219,0.219,-1,0.01,0.01,-0.01,1,-0.90222156
157,Filevich_unpub,1,1,0.18193,0.2203475,0.2203475,1,-1,0.22704375,-0.22704375,-1,0.01,0.01,-0.01,1,-0.7292359
158,Filevich_unpub,1,0,0.058769,-0.21464125,0.21464125,-1,1,0.2203475,0.2203475,1,0.01,0.406,0.01,1,-0.7013087
159,Filevich_unpub,1,1,1.2074,0.20886625,0.20886625,1,-1,0.21464125,-0.21464125,-1,0.406,0.01,-0.406,1,-0.6192728
160,Filevich_unpub,1,0,0.082835,-0.20298125,0.20298125,-1,1,0.20886625,0.20886625,1,0.01,0.208,0.01,1,-0.65747064
161,Filevich_unpub,1,1,0.30537,0.19789375,0.19789375,1,-1,0.20298125,-0.20298125,-1,0.208,0.208,-0.208,1,-0.63790596
162,Filevich_unpub,1,1,0.43984,0.19302625,0.19302625,1,1,0.19789375,0.19789375,1,0.208,0.208,0.208,1,-0.75388306
163,Filevich_unpub,1,0,0.38094,0.188255,0.188255,1,1,0.19302625,0.19302625,1,0.208,0.208,0.208,0,-0.9982324
164,Filevich_unpub,1,0,0.83816,0.195295,0.195295,1,1,0.188255,0.188255,-1,0.208,0.01,-0.208,0,-1.1424034
165,Filevich_unpub,1,0,0.83199,0.20239,0.20239,1,1,0.195295,0.195295,-1,0.01,0.01,-0.01,0,-1.202076
166,Filevich_unpub,1,0,0.053016,-0.21053,0.21053,-1,1,0.20239,0.20239,-1,0.01,0.406,-0.01,1,-1.1992824
167,Filevich_unpub,1,0,0.26993,-0.20493375,0.20493375,-1,-1,0.21053,-0.21053,-1,0.406,0.208,-0.406,1,-1.1951953
168,Filevich_unpub,1,0,0.11726,0.19973625,0.19973625,1,-1,0.20493375,-0.20493375,-1,0.208,0.01,-0.208,0,-1.19176
169,Filevich_unpub,1,0,0.64463,-0.20738125,0.20738125,-1,1,0.19973625,0.19973625,-1,0.01,0.208,-0.01,1,-1.0999776
170,Filevich_unpub,1,1,0.62157,0.201895,0.201895,1,-1,0.20738125,-0.20738125,-1,0.208,0.01,-0.208,1,-0.99978864
171,Filevich_unpub,1,0,1.2421,0.1971925,0.1971925,1,1,0.201895,0.201895,1,0.01,0.01,0.01,0,-1.0777632
172,Filevich_unpub,1,0,0.21084,-0.2042875,0.2042875,-1,1,0.1971925,0.1971925,-1,0.01,0.406,-0.01,1,-1.0603086
173,Filevich_unpub,1,0,0.33415,0.19932375,0.19932375,1,-1,0.2042875,-0.2042875,-1,0.406,0.208,-0.406,0,-1.0317342
174,Filevich_unpub,1,0,0.11771,-0.20668,0.20668,-1,1,0.19932375,0.19932375,-1,0.208,0.01,-0.208,1,-0.90951014
175,Filevich_unpub,1,1,0.4403,0.20141375,0.20141375,1,-1,0.20668,-0.20668,-1,0.01,0.01,-0.01,1,-0.771682
176,Filevich_unpub,1,0,1.0019,0.19684875,0.19684875,1,1,0.20141375,0.20141375,1,0.01,0.01,0.01,0,-0.79106027
177,Filevich_unpub,1,0,0.46294,0.203655,0.203655,1,1,0.19684875,0.19684875,-1,0.01,0.01,-0.01,0,-0.704213
178,Filevich_unpub,1,1,0.35155,0.21123125,0.21123125,1,1,0.203655,0.203655,-1,0.01,0.01,-0.01,1,-0.5001419
179,Filevich_unpub,1,0,0.11192,-0.20600625,0.20600625,-1,1,0.21123125,0.21123125,1,0.01,0.604,0.01,1,-0.4275548
180,Filevich_unpub,1,1,0.39248,0.20096,0.20096,1,-1,0.20600625,-0.20600625,-1,0.604,0.406,-0.604,1,-0.2940304
181,Filevich_unpub,1,1,0.66257,0.1965325,0.1965325,1,1,0.20096,0.20096,1,0.406,0.208,0.406,1,-0.24762201
182,Filevich_unpub,1,0,0.45202,-0.19222875,0.19222875,-1,1,0.1965325,0.1965325,1,0.208,0.01,0.208,1,-0.29623738
183,Filevich_unpub,1,0,0.93159,0.1880075,0.1880075,1,-1,0.19222875,-0.19222875,-1,0.01,0.01,-0.01,0,-0.27909037
184,Filevich_unpub,1,1,0.22873,0.19423625,0.19423625,1,1,0.1880075,0.1880075,-1,0.01,0.604,-0.01,1,-0.10005487
185,Filevich_unpub,1,1,1.412,-0.1900425,0.1900425,-1,1,0.19423625,0.19423625,1,0.604,0.01,0.604,0,-0.02019349
186,Filevich_unpub,1,1,0.38125,0.19621625,0.19621625,1,-1,0.1900425,-0.1900425,1,0.01,0.01,0.01,1,-0.09040248
187,Filevich_unpub,1,0,0.36376,-0.19203625,0.19203625,-1,1,0.19621625,0.19621625,1,0.01,0.406,0.01,1,-0.24227211
188,Filevich_unpub,1,1,0.31101,0.18793875,0.18793875,1,-1,0.19203625,-0.19203625,-1,0.406,0.406,-0.406,1,-0.31474432
189,Filevich_unpub,1,0,0.39313,0.18391,0.18391,1,1,0.18793875,0.18793875,1,0.406,0.01,0.406,0,-0.5153938
190,Filevich_unpub,1,0,0.4871,-0.18991875,0.18991875,-1,1,0.18391,0.18391,-1,0.01,0.01,-0.01,1,-0.55855244
191,Filevich_unpub,1,0,0.62774,0.1859175,0.1859175,1,-1,0.18991875,-0.18991875,-1,0.01,0.01,-0.01,0,-0.56512564
